"julian-date","icetype","depth","broadband-alb","visible-alb","pond-num"
147,3,0.09,0.4,0.62,1
147,3,0,0.51,0.64,2
148,1,0.03,0.48,0.67,3
148,1,0.03,0.42,0.59,4
148,1,0.04,0.43,0.56,5
148,1,0.02,0.44,0.59,6
148,1,0.02,0.51,0.67,7
149,1,0.04,0.35,0.52,8
149,1,0.03,0.42,0.62,9
149,2,0.13,0.38,0.5,10
149,2,0.07,0.31,0.49,11
149,2,0.08,0.31,0.5,12
149,2,0.13,0.29,0.45,13
149,2,0.1,0.28,0.45,14
149,1,0.05,0.49,0.66,15
149,1,0.02,0.46,0.59,16
150,2,0.41,0.21,0.32,17
150,2,0.12,0.3,0.46,18
150,2,0.09,0.14,0.19,19
150,2,0.11,0.25,0.38,20
150,2,0.1,0.33,0.51,21
150,2,0.12,0.34,0.55,22
150,2,0.12,0.32,0.53,23
150,2,0.12,0.35,0.58,24
150,2,0.1,0.4,0.64,25
150,2,0.09,0.36,0.56,26
150,1,0.02,0.5,0.66,27
150,1,0.05,0.45,0.65,28
150,1,0.04,0.46,0.65,29
150,1,0.03,0.51,0.69,30
150,1,0.03,0.43,0.6,31
150,1,0.04,0.4,0.57,32
150,1,0.06,0.38,0.54,33
150,1,0.06,0.32,0.46,34
151,2,0.13,0.26,0.43,35
151,2,0.18,0.24,0.4,36
151,2,0.18,0.24,0.4,37
151,2,0.15,0.22,0.36,38
151,2,0.14,0.35,0.6,39
151,2,0.13,0.37,0.62,40
151,2,0.12,0.42,0.62,41
151,2,0.11,0.27,0.46,42
151,2,0.14,0.29,0.49,43
151,2,0.17,0.37,0.63,44
151,2,0.18,0.29,0.5,45
151,2,0.21,0.33,0.58,46
151,2,0.17,0.39,0.67,47
151,2,0.12,0.32,0.53,48
151,2,0.11,0.36,0.59,49
151,2,0.14,0.37,0.63,50
151,2,0.14,0.31,0.53,51
151,3,0.07,0.34,0.57,52
151,3,0.08,0.33,0.55,53
151,3,0.18,0.31,0.54,54
151,3,0.21,0.3,0.53,55
151,3,0.18,0.31,0.55,56
151,3,0.22,0.21,0.39,57
151,3,0.27,0.21,0.4,58
151,3,0.32,0.2,0.37,59
151,3,0.33,0.12,0.23,60
151,3,0.06,0.33,0.55,61
151,3,0.05,0.43,0.68,62
151,3,0.4,0.26,0.48,63
151,3,0.51,0.24,0.47,64
151,3,0.72,0.24,0.46,65
151,3,0.79,0.22,0.44,66
151,3,0.86,0.23,0.46,67
153,3,0.1,0.24,0.37,68
153,3,0.08,0.25,0.37,69
153,3,0.04,0.26,0.38,70
153,3,0.08,0.28,0.42,71
153,3,0.09,0.36,0.5,72
153,3,0.21,0.28,0.43,73
153,3,0.08,0.26,0.4,74
153,3,0.1,0.26,0.4,75
153,3,0.26,0.17,0.27,76
153,3,0.1,0.23,0.35,77
153,3,0.24,0.3,0.49,78
153,3,0.18,0.19,0.3,79
153,3,0.09,0.18,0.28,80
153,3,0.09,0.26,0.41,81
154,3,0.18,0.36,0.58,82
154,3,0.26,0.33,0.55,83
154,3,0.32,0.33,0.56,84
154,3,0.4,0.33,0.57,85
154,3,0.39,0.36,0.62,86
154,3,0.36,0.34,0.59,87
154,3,0.39,0.3,0.51,88
154,3,0.35,0.32,0.54,89
154,3,0.36,0.32,0.54,90
154,3,0.28,0.33,0.56,91
154,3,0.26,0.35,0.6,92
154,3,0.25,0.4,0.67,93
154,3,0.31,0.22,0.37,94
154,3,0.37,0.32,0.55,95
154,3,0.21,0.25,0.4,96
154,3,0.11,0.37,0.56,97
154,3,0.28,0.31,0.49,98
154,3,0.5,0.25,0.43,99
154,3,0.56,0.23,0.39,100
154,3,0.65,0.27,0.47,101
154,3,0.56,0.23,0.4,102
154,3,0.59,0.24,0.41,103
154,3,0.61,0.23,0.39,104
154,3,0.3,0.28,0.47,105
154,3,0.69,0.25,0.43,106
154,3,0.66,0.26,0.43,107
154,2,0.17,0.3,0.49,108
154,2,0.16,0.34,0.55,109
154,2,0.08,0.33,0.5,110
154,2,0.1,0.29,0.44,111
154,2,0.12,0.29,0.45,112
154,2,0.31,0.24,0.38,113
154,2,0.35,0.23,0.35,114
154,2,0.33,0.26,0.41,115
154,2,0.32,0.3,0.49,116
154,2,0.28,0.31,0.5,117
154,2,0.31,0.3,0.48,118
155,2,0.26,0.18,0.34,119
155,2,0.26,0.2,0.38,120
155,2,0.28,0.21,0.4,121
155,2,0.26,0.21,0.39,122
155,2,0.3,0.21,0.4,123
155,2,0.31,0.21,0.39,124
155,2,0.36,0.19,0.36,125
155,2,0.38,0.18,0.35,126
155,2,0.39,0.18,0.35,127
155,2,0.33,0.18,0.34,128
155,2,0.26,0.21,0.39,129
155,2,0.24,0.22,0.41,130
155,2,0.25,0.2,0.39,131
155,2,0.2,0.21,0.4,132
155,2,0.25,0.22,0.42,133
155,2,0.36,0.17,0.33,134
155,2,0.39,0.18,0.34,135
155,2,0.36,0.18,0.34,136
155,2,0.32,0.17,0.33,137
155,2,0.25,0.24,0.45,138
155,2,0.28,0.22,0.41,139
155,3,0.09,0.13,0.23,140
155,3,0.13,0.23,0.4,141
155,3,0.07,0.29,0.45,142
155,3,0.11,0.22,0.33,143
155,3,0.1,0.16,0.29,144
155,3,0.07,0.23,0.38,145
155,3,0.69,0.14,0.27,146
155,3,0.18,0.32,0.57,147
155,3,0.35,0.18,0.32,148
155,3,0.37,0.17,0.31,149
155,3,0.51,0.14,0.25,150
155,3,0.67,0.14,0.25,151
155,3,0.67,0.13,0.24,152
155,3,0.62,0.14,0.25,153
155,3,0.55,0.16,0.26,154
155,3,0.44,0.16,0.27,155
155,3,0.66,0.15,0.27,156
155,3,0.25,0.17,0.28,157
156,3,0.28,0.23,0.43,158
156,3,0.42,0.2,0.38,159
156,3,0.28,0.3,0.54,160
156,3,0.23,0.33,0.59,161
156,3,0.26,0.3,0.55,162
156,3,0.5,0.16,0.3,163
156,3,0.54,0.2,0.39,164
156,3,0.62,0.17,0.33,165
156,3,0.64,0.17,0.32,166
156,3,0,0.75,0.77,167
156,3,0,0.44,0.55,168
156,3,0,0.47,0.64,169
156,3,0.1,0.35,0.58,170
156,3,0.18,0.27,0.47,171
156,3,0.13,0.28,0.47,172
156,3,0.22,0.23,0.41,173
156,3,0.16,0.23,0.4,174
156,3,0.25,0.26,0.45,175
156,3,0.56,0.18,0.33,176
156,3,0.57,0.19,0.34,177
156,3,0.47,0.2,0.36,178
156,3,0.54,0.19,0.34,179
156,3,0.61,0.16,0.29,180
156,3,0.56,0.16,0.28,181
156,3,0.33,0.21,0.37,182
156,3,0.51,0.16,0.29,183
156,3,0.43,0.2,0.37,184
156,3,0.41,0.23,0.42,185
156,3,0.63,0.11,0.19,186
156,3,0.19,0.25,0.45,187
156,3,0.34,0.24,0.43,188
156,3,0.55,0.18,0.34,189
156,3,0.28,0.09,0.17,190
156,3,0.16,0.26,0.44,191
156,3,0,0.59,0.72,192
156,3,0,0.45,0.62,193
156,3,0,0.57,0.7,194
156,3,0,0.59,0.73,195
156,3,0,0.5,0.6,196
158,2,0.24,0.22,0.39,197
158,2,0.24,0.27,0.47,198
158,2,0.23,0.27,0.47,199
158,2,0.25,0.3,0.52,200
158,2,0.27,0.28,0.5,201
158,2,0.36,0.24,0.41,202
158,2,0.33,0.28,0.49,203
158,2,0.42,0.26,0.46,204
158,2,0.3,0.24,0.42,205
158,2,0.35,0.27,0.48,206
158,2,0.33,0.32,0.56,207
158,2,0.42,0.24,0.42,208
158,2,0.4,0.25,0.44,209
158,2,0.37,0.28,0.49,210
162,1,0.18,0.18,0.29,211
162,1,0.19,0.17,0.27,212
162,1,0.18,0.19,0.29,213
162,2,0.12,0.23,0.39,214
162,2,0.14,0.27,0.44,215
162,2,0.24,0.21,0.33,216
162,2,0.27,0.22,0.35,217
162,3,0.25,0.19,0.35,218
162,3,0.32,0.21,0.4,219
162,3,0.32,0.2,0.38,220
162,3,0.35,0.16,0.3,221
162,3,0.41,0.17,0.32,222
162,3,0.34,0.24,0.37,223
162,3,0.34,0.12,0.22,224
162,3,0.28,0.09,0.17,225
163,3,0.36,0.2,0.35,226
163,3,0.39,0.19,0.34,227
163,3,0.44,0.19,0.35,228
163,3,0.51,0.19,0.35,229
163,3,0.36,0.18,0.34,230
163,3,0.5,0.17,0.32,231
163,3,0.69,0.17,0.31,232
163,3,0.36,0.17,0.3,233
163,3,0.45,0.17,0.32,234
163,3,0.57,0.16,0.29,235
163,3,0.22,0.22,0.41,236
163,3,0.28,0.09,0.16,237
163,3,0.27,0.09,0.17,238
164,3,0.14,0.1,0.17,239
164,3,0.18,0.1,0.17,240
164,3,0.22,0.13,0.23,241
164,3,0.17,0.11,0.2,242
164,3,0.17,0.08,0.13,243
164,3,0.15,0.08,0.13,244
164,3,0.14,0.08,0.15,245
164,3,0.29,0.27,0.49,246
164,3,0.14,0.28,0.51,247
164,3,0.23,0.14,0.26,248
164,3,0.19,0.1,0.17,249
164,3,0.15,0.08,0.14,250
164,3,0.22,0.15,0.26,251
164,3,0.33,0.1,0.18,252
164,3,0.36,0.25,0.45,253
164,3,0.26,0.19,0.35,254
164,3,0.41,0.18,0.34,255
164,3,0.14,0.05,0.09,256
164,3,0.19,0.13,0.24,257
164,3,0.14,0.06,0.1,258
164,3,0.2,0.1,0.19,259
164,3,0.25,0.1,0.18,260
165,2,0.13,0.18,0.33,261
165,2,0.28,0.12,0.22,262
165,2,0.28,0.14,0.26,263
165,2,0.64,0.07,0.14,264
165,2,0.27,0.16,0.3,265
165,2,0.24,0.18,0.34,266
165,2,0.23,0.17,0.31,267
165,2,0.23,0.19,0.35,268
165,2,0.21,0.16,0.3,269
165,2,0.23,0.17,0.33,270
165,2,0.23,0.15,0.3,271
165,2,0.27,0.13,0.25,272
165,2,0.28,0.16,0.31,273
165,2,0.27,0.14,0.27,274
165,2,0.3,0.13,0.25,275
165,2,0.24,0.18,0.33,276
165,2,0.29,0.14,0.28,277
165,2,0.26,0.16,0.3,278
165,2,0.26,0.19,0.36,279
165,2,0.27,0.18,0.34,280
165,2,0.25,0.21,0.4,281
165,2,0.25,0.19,0.36,282
165,2,0.27,0.18,0.34,283
165,2,0.26,0.17,0.33,284
165,2,0.23,0.19,0.36,285
165,2,0.2,0.19,0.37,286
165,2,0.25,0.2,0.39,287
165,2,0.24,0.19,0.36,288
165,2,0.28,0.16,0.3,289
165,2,0.48,0.21,0.41,290
165,2,0.54,0.2,0.38,291
165,2,0.53,0.19,0.38,292
165,2,0.55,0.2,0.39,293
165,2,0.62,0.23,0.46,294
165,2,0.63,0.23,0.44,295
165,2,0.63,0.21,0.41,296
165,2,0.64,0.21,0.42,297
165,2,0.61,0.21,0.4,298
165,2,0.61,0.21,0.41,299
165,2,0.6,0.2,0.4,300
165,2,0.6,0.2,0.4,301
165,2,0.59,0.2,0.4,302
165,2,0.32,0.17,0.34,303
165,2,0.32,0.18,0.36,304
165,2,0.3,0.19,0.38,305
165,2,0.31,0.17,0.33,306
165,2,0.31,0.22,0.42,307
165,2,0.2,0.22,0.43,308
165,2,0.18,0.21,0.4,309
165,2,0.22,0.19,0.37,310
168,2,0.18,0.16,0.31,311
168,2,0.17,0.15,0.28,312
168,2,0.16,0.19,0.35,313
168,2,0.15,0.22,0.41,314
168,2,0.2,0.17,0.31,315
168,2,0.19,0.17,0.31,316
168,2,0.32,0.15,0.28,317
168,2,0.13,0.18,0.33,318
168,2,0.12,0.16,0.3,319
168,2,0.14,0.19,0.33,320
168,2,0.14,0.18,0.34,321
168,2,0.2,0.19,0.35,322
168,2,0.13,0.17,0.32,323
168,2,0.18,0.21,0.39,324
168,2,0.17,0.25,0.45,325
168,2,0.42,0.21,0.38,326
168,2,0.26,0.22,0.4,327
168,2,0.3,0.23,0.42,328
168,2,0.2,0.23,0.42,329
168,2,0.18,0.19,0.34,330
168,2,0.16,0.19,0.34,331
168,2,0.19,0.21,0.39,332
168,2,0.32,0.16,0.28,333
168,2,0.36,0.14,0.26,334
168,2,0.22,0.18,0.33,335
168,2,0.25,0.18,0.32,336
168,2,0.29,0.23,0.43,337
168,2,0.3,0.2,0.36,338
168,2,0.27,0.22,0.39,339
168,2,0.17,0.17,0.32,340
168,2,0.09,0.21,0.38,341
168,2,0.11,0.22,0.39,342
168,2,0.17,0.19,0.36,343
168,2,0.17,0.22,0.4,344
168,2,0.13,0.25,0.46,345
168,3,0.21,0.06,0.12,346
168,3,0.16,0.06,0.11,347
168,3,0.2,0.07,0.13,348
168,3,0.21,0.1,0.19,349
168,3,0.26,0.08,0.16,350
168,3,0.22,0.09,0.18,351
168,3,0.19,0.06,0.12,352
168,3,0.28,0.03,0.05,353
168,3,0.24,0.04,0.07,354
168,3,0.38,0.03,0.06,355
168,3,0.19,0.06,0.11,356
168,3,0.16,0.19,0.36,357
168,3,0.18,0.1,0.18,358
168,3,0.25,0.04,0.07,359
168,3,0.24,0.04,0.08,360
168,3,0.29,0.17,0.32,361
168,3,0.24,0.18,0.34,362
168,3,0.3,0.16,0.31,363
168,3,0.29,0.17,0.34,364
168,3,0.32,0.17,0.31,365
168,3,0.21,0.22,0.4,366
168,3,0.35,0.14,0.28,367
168,3,0.2,0.15,0.29,368
168,3,0.2,0.08,0.15,369
168,3,0.28,0.14,0.26,370
168,3,0.13,0.23,0.41,371
168,3,0.36,0.17,0.33,372
168,3,0.43,0.2,0.39,373
168,3,0.6,0.18,0.35,374
168,3,0.32,0.15,0.28,375
168,3,0.39,0.14,0.27,376
168,3,0.6,0.16,0.3,377
168,3,0.66,0.14,0.27,378
168,3,0.62,0.16,0.29,379
168,3,0.77,0.14,0.26,380
168,3,0.5,0.16,0.3,381
168,3,0.59,0.16,0.3,382
168,3,0.61,0.16,0.3,383
173,1,0.2,0.12,0.22,384
173,1,0.12,0.13,0.25,385
173,1,0.1,0.2,0.36,386
173,1,0.11,0.11,0.19,387
173,1,0.12,0.17,0.3,388
173,1,0.27,0.09,0.15,389
173,1,0.25,0.09,0.15,390
173,1,0.24,0.1,0.17,391
173,1,0.14,0.12,0.21,392
173,1,0.14,0.11,0.21,393
173,1,0.16,0.11,0.2,394
173,1,0.21,0.14,0.27,395
173,1,0.09,0.1,0.18,396
173,1,0.06,0.11,0.21,397
173,1,0.09,0.11,0.19,398
173,1,0.13,0.11,0.2,399
173,1,0.18,0.09,0.17,400
173,1,0.19,0.22,0.41,401
173,1,0.26,0.21,0.38,402
173,1,0.12,0.33,0.5,403
173,1,0.21,0.08,0.15,404
173,1,0.28,0.09,0.16,405
173,1,0.21,0.17,0.3,406
173,1,0.19,0.14,0.26,407
174,2,0.23,0.16,0.31,408
174,2,0.3,0.17,0.32,409
174,2,0.33,0.17,0.33,410
174,2,0.3,0.17,0.33,411
174,2,0.35,0.16,0.31,412
174,2,0.32,0.17,0.34,413
174,2,0.41,0.18,0.34,414
174,2,0.29,0.19,0.36,415
174,2,0.24,0.16,0.31,416
174,2,0.25,0.17,0.33,417
174,2,0.17,0.16,0.31,418
174,2,0.16,0.19,0.36,419
174,2,0.14,0.15,0.29,420
174,2,0.25,0.15,0.28,421
174,2,0.58,0.13,0.26,422
174,2,0.56,0.12,0.23,423
174,2,0.35,0.13,0.25,424
174,2,0.4,0.16,0.31,425
174,2,0.45,0.19,0.37,426
174,2,0.45,0.18,0.36,427
174,2,0.37,0.15,0.29,428
174,2,0.48,0.15,0.29,429
174,2,0.29,0.17,0.33,430
174,2,0.34,0.15,0.29,431
174,2,0.33,0.16,0.31,432
174,2,0.39,0.16,0.31,433
174,2,0.34,0.14,0.28,434
174,2,0.36,0.17,0.33,435
174,2,0.38,0.25,0.47,436
174,2,0.26,0.18,0.36,437
174,2,0.31,0.23,0.43,438
174,2,0.24,0.17,0.32,439
174,2,0.25,0.21,0.4,440
174,2,0.23,0.22,0.43,441
174,2,0.32,0.17,0.32,442
174,2,0.37,0.13,0.23,443
174,2,0.3,0.1,0.18,444
174,2,0.36,0.11,0.2,445
174,2,0.33,0.19,0.37,446
174,2,0.32,0.16,0.3,447
174,2,0.33,0.13,0.24,448
174,2,0.27,0.19,0.36,449
174,2,0.32,0.2,0.38,450
174,2,0.25,0.21,0.39,451
174,2,0.33,0.15,0.29,452
174,2,0.28,0.18,0.34,453
174,2,0.44,0.14,0.26,454
174,2,0.43,0.19,0.35,455
174,2,0.45,0.15,0.27,456
174,2,0.4,0.17,0.31,457
174,2,0.36,0.17,0.31,458
174,2,0.3,0.16,0.3,459
174,2,0.22,0.2,0.38,460
177,1,0.11,0.09,0.17,461
177,1,0.11,0.1,0.18,462
177,1,0.06,0.08,0.16,463
177,1,0.09,0.1,0.19,464
177,1,0.15,0.08,0.16,465
177,1,0.08,0.08,0.15,466
177,1,0.13,0.18,0.32,467
177,1,0.11,0.07,0.13,468
177,1,0.23,0.07,0.13,469
177,1,0.23,0.05,0.1,470
177,1,0.07,0.12,0.21,471
177,1,0.07,0.15,0.26,472
177,1,0.05,0.1,0.17,473
177,1,0.11,0.22,0.38,474
177,1,0.1,0.26,0.44,475
177,1,0.16,0.21,0.37,476
177,1,0.24,0.06,0.12,477
177,1,0.25,0.08,0.13,478
177,1,0.2,0.16,0.3,479
177,1,0.18,0.16,0.3,480
177,1,0.36,0.05,0.08,481
177,1,0.2,0.21,0.38,482
177,1,0.34,0.2,0.35,483
177,1,0.1,0.12,0.16,484
177,1,0.1,0.12,0.16,485
177,1,0.1,0.12,0.16,486
177,1,0.1,0.12,0.16,487
177,1,0.1,0.12,0.15,488
177,1,0.12,0.13,0.16,489
177,1,0.13,0.14,0.16,490
177,1,0.16,0.2,0.26,491
177,1,0.12,0.32,0.48,492
177,1,0.16,0.26,0.37,493
177,1,0.16,0.21,0.27,494
177,1,0.25,0.08,0.1,495
177,1,0.19,0.13,0.2,496
177,1,0.23,0.14,0.24,497
177,1,0.26,0.14,0.22,498
177,1,0.13,0.25,0.4,499
177,1,0.06,0.12,0.18,500
177,1,0.04,0.12,0.18,501
177,1,0.04,0.11,0.17,502
177,1,0.05,0.11,0.16,503
177,1,0.05,0.12,0.18,504
